ID,text,labels
1365406361874530306t,"@JoySwan12 @HempleLouise I'm a flat earth anti vaxxer . I couldn't give a toss about the Queen , though . I see the brainwashed government lovers getting upset that the open minded , critical thinkers are able to voice their opinions ( reasonable and widely shared ) .",political unnecessary
1090704386450432001t,"@Kolesnikoff @dcexaminer So , you are going to turn those who actually have serious allergies to vaccine components into social lepers ? Not all unvaccinated people are by choice . Since ' undocumented immigrants ' are also often undocumented in terms of their vaccinations , I assume you're including them .",mandatory
1352907522831605760t,@David13353252 Vaccine related ? ? ? I am beginning to think the elderly should not have at all .,none
1404410898429714434t,AstraZeneca's COVID Jab Should Be Halted For People Over 60 : EMA | ZeroHedge EMA safety committee on Friday said that capillary leak syndrome is a new side effect after taking AstraZeneca's vaccine https : / / t.co/cbbuLJvrZq,side-effect
1293301922041077763t,Yeah I ’ m not taking a rushed vaccine until we see how many people it kills . I am fine staying in my house away from people #RussianVaccine,rushed
1292920028996739079t,@mezucchini bill gates it goingnto put it back in with his corona virus vaccine nice try,conspiracy pharma
1299927859583049730t,@NVICLoeDown 🌈 Sweden banned the use of masks when Covid started “ unless you had a note from a doctor stating you had Covid - 19 . ” No kids died . Only people over 70 w obesity or other deadly disease died . ❤ ️Sweden proved vaccines are unnecessary . ❤ ️Write - in Paul Kangas 4 President .,unnecessary
1350170207864696835t,Covid vaccine horror as 23 people suddenly DIE after Pfizer jab after ‘ side effects ’ | World | News https : / / t.co/UDXNIiws7y,side-effect
1364802426587344897t,"@dsizzo @MichaelBalcom1 @Kamou10 @AP You do know that after being vaccinated , you can still be a carrier just like the person that didn ’ t get vaccinated , so why should they be restrained and not you ? You being vaccinated doesn ’ t protect others from catching Covid from you 🤷 🏾 ‍ ♂ ️",ineffective
1341591707171827712t,"So 3150 out 112807 people who rec'd vaccine or 2.8 % were "" incapacitated "" after 1st shot ( i . e . , unable to perform normal daily activities , unable to work , required care from doctor or health care professional ) . How does that compare to COVID death rate of people < 60 yrs old ?",side-effect
1321892420942991363t,I couldn't believe what I was reading . This is my state . There is no way in hell I'd take any vaccine for covid . I don't take any of them .,none
1329119018616193024t,"@RobertW31430731 @pfizer Is this vaccine for real or just some get - rich quick scheme of the Trumps ? Is Ivanka raking in millions from Pfizer stock ? I do not trust anything that comes from , through or near the Trump administration .",political
1336340368367861761t,@BBCNews NO . You know as well as we all do that all this vaccine does is lessen the symptoms of the virus - you don't mention that it could cause repercussions on other viruses as the bodies own immune system can be weakened by the Pfizer vaccine - all in the public domain .,ineffective side-effect
1335754588725633024t,@WilliamShatner The vaccine was tested before being released . I ’ m not taking any vaccine for Covid - 19 until they thoroughly test it . I was young but remember the horrific outcome of that vaccine . Locally hundreds died but thousands died elsewhere . Sad .,rushed
1338961436631060481t,@Leighspc @J741258 @AlexBerenson @pfizer Do tell - how many of the people who ’ ve already gotten the vaccine have died ?,side-effect
1336262857260929024t,"Check out Pfizer's wonderful record of service to humanity . Oh , and it's $ BILLIONS paid out in fines for malpractice and malfeasance . https : / / t.co/AmKnqn2YA2",pharma
1414879811877605377t,"The Covaxin recipient , a man in his late 60s ( also with no COVID - 19 comorbidities ) , died from complications of COVID - 19 . https : / / t.co/U1iAw9kMf1",side-effect
1355164450056073222t,"Now Johnson n Johnson got a fucking single shot vaccine , Foh",none
1345361992392056833t,@keirshiels @marcuschown What is the point exactly - Pfizer itself says the vaccine is useless if the 2nd jab isn't given within the correct time frame or are you 2nd vaccinating your elderly frail patients ?,ineffective
1341945597801111552t,"@pcrclaims Nightingales reserved for theatre of war . AI will hide side - effects / vaccine injuries ( cv vax ) . But many cld collapse public ( narcolepsy / spinal paralysis = side - effects ) . Wld be declared ' covid ' , prison in nightingales . MSM lies , public 👋 lies . Showers w / o water",side-effect
1362628679239684098t,@saadpb @BoobyJargon @AnjKhem My Dad died after the Modern vaccine . Organs started shutting down . Doctor said no real proof it was the vaccine . He has covid in August . He should not have gotten it . He would still be alive had he not taken it .,side-effect
1375804823216480258t,@Andrea62928413 @StorkBoris @M13kyD I think he was told he was being given the vaccine ( small fee taken ) when in fact it was some whoopy woo stuff . Next he'll be complaining of the after effects ( or come down ! ) . Later he'll be requesting his second shot .,ineffective
1378302333063401474t,If the vaccines work like they say then why does it matter if a few people don ’ t have it ? If they don ’ t have it and get covid then it ’ s on them but it should be THEIR choice ? Meanwhile everybody else who has the vaccine will be fine ? Utterly utterly absurd,mandatory
1422940368752967688t,"#VAERS 50y ♀ ️ #Moderna #CovidVaccine #Gangrene #Amputation #Thrombosis "" reported by a consumer ( subsequently medically confirmed ) ... occurrence of THROMBOSIS ( Blood clots ) , THROMBECTOMY ( two clots were removed ) , GANGRENE ... and LEG AMPUTATION "" https : / / t.co/qBVrLcJyM9",side-effect
1354155004798631937t,@RichAlexander20 @revolutino @united If they're so safe then why do the pharmaceutical companies have measures in place that protects them from being sued in the event the vaccine doesn't work as promised . It seems that United is setting themselves up for potential employee lawsuits in the future . Not smart .,ineffective
1306268829211938829t,@QuickTake I will never take a Covid test nor the vaccine . Covid is being used as a political football and I will have no part of it .,political
1344644995505156097t,"@MaxduPreez 1 . The way I understand it is not that simple . Pfizer vaccine not the best for us because must remain frozen in transport and we are far away . Also , it now shows allergic reaction 10x more than other vaccines ( acc to Barry Schoub ) .",side-effect
1366868985627742210t,"Catholics should avoid Johnson & Johnson ’ s vaccine if other options are available , official U . S . group says https : / / t.co/jhneH7m8a3 https : / / t.co/PSAqGwttcH",religious
1339662607800786944t,"Moderna and Pfizer cannot be sued if vaccine side effects is severe , in other words you're on your own if you get vaccinated , I rather be on my own without it , thank you much ! ! !",pharma side-effect
1374699166631219207t,Death of Ukrainian servicewoman after vaccination caused by acute circulatory disorders #AstraZeneca https : / / t.co/EF6KwBYfsf,side-effect
1364571808037539842t,"@odvjetnik1 @elonmusk COVID is a scam so big pharma can make money , like the swine flu scandale in 2009 same shit over again . It is a politicized virus . You aware 99.98 % survive COVID ? Why would you need a risky vaccine that hasn't been used on humans before ?",pharma rushed unnecessary
1338220659546046464t,@DrNancyM_CDC It is unlikely that covid vaccines will have much impact on epidemics . The efficacy reports on most vaccines are fake statistics . Pfizer's vaccine is known to have side effects that can be worse than covid . https : / / t.co/4jpN1pOuR7,rushed side-effect
1297621454977212425t,@joelockhart Politicians not science run the show ! All public trust for any treatment vaccine will be destroyed,side-effect
1377356538747047939t,love not being vaccinated yet 💉 🤣 💉 this family went to disney world for spring break btw https : / / t.co/57y3WmE53h,none
1264539283857108994t,"@Ccressman87 @DeniseE100 @CTVToronto We need to start asking those in charge , if most Covid cases are mild / assymptomatic and majority of deaths are in care homes , why all the extra public health measures , social distancing , ppe and vaccine propaganda ? Ask about herd and natural immunity vs vaccine immunity ?",unnecessary
1362826136674136067t,"@paulvieira I'd love to see the results of "" Covid Vaccine Deaths & Complications "" plugged into that same covid case modelling software !",side-effect
1353309231190044674t,@PritchardGriff2 It upsets me to see all these vulnerable human beings having this unknown vaccine . And like you say i bet they were never told before hand that they will still be in the same position even after having it . And yes where is the cleanliness protocol 🤦 🏼 ‍ ♀ ️ 😢,ineffective
1350407066851094528t,I ’ ve been flat out declining Pfizer vaccine after seeing two peoples side effects . I was offered Oxford yesterday but declined it as I know of a lot of people who have had even worse side effects than Pfizer . Luckily my manager was cool with it and said it ’ s my choice .,side-effect
1291657231709216769t,COVID IS REALLY AN INTELLIGENCE TEST HOW CAN ANYBODY BE STUPID ENOUGH TO THINK OVERNIGHT EVERYBODY IN THE ENTIRE WORLD IS SICK & NEEDS TESTING MASKS & VACCINES ? MOST PEOPLE WHO TEST POSITIVE FEEL FINE & ARE NOT SICK WHAT A FEAR PSYOP ON HUMAN RACE EVERYONE IS BRAINWASHED SO SAD https : / / t.co/BD1gABClEW,mandatory
1339311167978811394t,@JamesMartinSJ Pfizer has been given legal protection if anything goes wrong with the vaccine so why would they fight for that if they were so sure that it does what they say it does people see through it and will not be taking it and I don't think MSM realizes that,pharma
1403676363517743105t,California Woman Who Got Both Moderna Vaccine Shots Dies of COVID - 19 : Officials - The Epoch Times https : / / t.co/qRsdQZpqA8,ineffective
1390974070934671360t,"Reported Vaccine Injuries Continue to Climb , Pfizer Seeks Full Approval for COVID Vaccine • Children's Health Defense https : / / t.co/FUoIkVBAMK",side-effect
1375846822917328896t,"Is pfizer really testing their vaccine on infants ? 🤔 As a parent , I would never allow that . 😣",rushed
1407783455161831424t,"Pfizer COVID Vaccine Linked to Rare Blood Clot Disorder , Israeli Researchers Say Israeli researchers on Monday said they discovered a link between Pfizer ’ s COVID vaccine and thrombotic thrombocytopenic purpura ( TTP ) , a rare blood disease . Scientists wi … https : / / t.co/kMKDeHz9ks",side-effect
1233210615964942337t,"@WMN4SRVL @washingtonpost He seems pretty credible to me . Cui bono , if we go with your sources ? Look at what he says about animals showing high incidence of respiratory failure AFTER being vaccinated . He asks whether Chinese had been subjected to vaccine trials . #Coronavirus https : / / t.co/FWO9rfSonk",side-effect
1392386870382927874t,#FordNation's critics ( * cough * Liberals ) are blaming the provincial government for halting #AstraZeneca vaccine rollout in the province So they want to continue using a vaccine that causes #bloodclots 🙄 #Ontario is the only province to halt the use of this inferior vaccine,political side-effect
1354827717976449024t,Employer called an asked was I gettin the Covid Vaccine . Be a big hell no for me,none
1365048430696026120t,@POTUS Infertility through vaccination ? Read this revealing article . Press the link ! https : / / t.co/ugxfNATLIG @RoyalFamily @KensingtonRoyal @CasaReal @CourGrandDucale @Kronprinsparet @KingAbdullahII @KremlinRussia_E @JustinTrudeau #COVID19Vaccine #Covid19UK #Israel https : / / t.co/J4QVJG5F43,side-effect
1444943348188336128t,"@glennmul @MomoStJohn You realise three six month trials in different countries doesn't add up to eighteen months worth of follow up , right ? Even the recent FDA approval letter for the Pfizer vaccine states that various standard safety trials are still required to be completed in 2023 and 2024 .",rushed
1254256895256408064t,"So with common sense , if the virus they have no cures for they put in your body thru vaccination lies dormant , where is it going ? Its regenerating itself , much like how you do when you sleep then wake up . A virus they putting in you that has no cure . Where is the virus going ?",ineffective
1342759745762029568t,"This is not the first time a medical professional had an allergic reaction to one of these newer mRNA vaccines . Earlier this month , the Post reported 5 people in the US had allergic reactions after Pfizer shot : https : / / t.co/CjNSp2z3k5",side-effect
1322847831913304064t,"@BBCPolitics This statement is ridiculous , unless the vaccine is to be rolled out without proper testing for safety . There could well be more people die from side effects of the vaccine than are saved from Covid .",rushed side-effect
1325852698017665027t,@SaraCureton Pfizer is a dodgy outfit so any vaccine from them is not trustworthy .,ineffective
1341519793896230913t,"@jimmy31922581 @MaryamHenein Everyone has to keep retweeting this message - the public are being coerced into being part of an experiment that could kill , disable or make them infertile . The vax does not prevent infection & no guarantees of safety are given by the manufacturer . All on Pfizer's own web site .",ineffective rushed side-effect
1340351049295642624t,"of reactions were observed with the Moderna vaccine , it could be speculated that it could be linked to a common ingredient between the 2 vaccines , referring particularly to polyethylene glycol ( PEG ) , which is used in the lipid nanoparticules ( LNP = mRNA carrier ) . There has been",ingredients
1326645170859876353t,"Dear Pfizer , Since we all know this covid nonsense has everything to do with generating revenue and nothing to do with safety ( at best , at worst who the fuck knows what the drug does ) , why not just give us an option of $ 50 payment to exempt out of your asylum nightmare .",pharma
1370329768785293313t,"@LBC @MiriamStoppard can you stop going on and on about vaccines in your daily mirror column . You are part of the propaganda , after Oxford vaccine my brother became ill with Bell ’ s palsy and extreme ear pain . Known side effect . Look into this ?",side-effect
1300976928015282176t,@cnnbrk Ahh it ’ s because he has his heart set on the Russian vaccine . Gook luck with that and the chips Russia will implant into you .. lol,conspiracy country ingredients
1303496425557327872t,"I will NEVER take any Covid - 19 vaccine : AstraZeneca trial paused due to "" unexplained illness . """,side-effect unnecessary
1374841565047316485t,A vaccine a substance used to stimulate the production of antibodies & PROVIDES IMMUNITY against diseases . Guys a vaccine provides what ? ACTIVE IMMUNITY .. But the coronavirus vaccine can ’ t make you immune from contracting the virus .. Please define USELESS for me again ..,ineffective
1354915748871872512t,I am afraid that Tiffany Dover is unfortunately dead after the Covid Vaccine - https : / / t.co/NnMQFWJXOi,side-effect
1288646596675145728t,@NVICLoeDown Desperate public ? Or people daily bombarded by the media that they won't get their life back unless they succumb to a vaccine ? There's a difference between ' desperation ' and ' coercion ' . https : / / t.co/1b1Ds9gX3E,mandatory
1344232012115271683t,"What's the essence of administering Pfizer / BioNTech vaccine for COVID 19 if taking the vaccine will not prevent you from getting infected , spreading the virus ? It's even uncertain if the vaccine will cause infertility or has long term side effects .. Something is amiss !",ineffective side-effect
1374807602564112389t,@trisquire @xodanix3 I don't trust a thing the US Gov . is up to ( no good . ) In particular the cover up of this virus being man - made and is being used as a tool to diminish the population . I'm anticipating this virus and vaccine will impact folks of color the most . Gates and Fauci are up to no good ...,conspiracy pharma political
1254882873372524544t,@ShangoKofi @RealCandaceO They usually take years to fully test and approve a vaccine . You can take this one . I'll wait . Thanks .,rushed
1334789214433497088t,"Priest who took part in #Moderna vaccine dies , cause unknown ( WTF ? ) , might have had a heart attack . Three of the 15 human guinea pigs in the high - dose cohort - 250MG - reportedly suffered a "" serious adverse event "" within 43 days of receiving Moderna's jab . That ’ s 20 % !",side-effect
1376815180785442819t,‘ Huge privacy implications ’ : Florida Gov . DeSantis vows to ban ‘ vaccine passports ’ as Biden admin joins forces with Big Tech https : / / t.co/bmXZasmBIF 🗣 Vaccine Passports are precursors to the technology imbedded into the human body : Mark if the Beast . i refuse ! Kill me instead ! https : / / t.co/UEjnAXOeDT,mandatory political
1339373003172425730t,@haigh_jasmina @Hettiewaynthrop @lc5190 Is he away that even a ceo at Pfizer said he wouldn ’ t even take the vaccine 🤔,pharma
1344333695046590466t,@doctor_oxford Perhaps you could try the #vaccine on yourself first to reassure your patients as #vaccines have a nasty habit of injuring #patients https : / / t.co/h6NnSqei0u,side-effect
1255757051697008640t,"@newvisionwire Anything Chinese , I would stay away ! ! Fake fake fake is their middle name . And now this 🙄 🙄 it might be sucidal to even think that they have a vaccine",country
1341503975133163520t,"@johntrafalgar5 @MartinKnight_ I don ’ t care who ’ s holding the syringe , I ’ m NEVER having the Pfizer vaccine .",none
1327800216628703232t,"@o_rips SPIRO , Lets Share the Truth of the origin of Covid 19 and the pending MANDATORY VACCINES TOGETHER ! https : / / t.co/Qu6Wzstz3O https : / / t.co/L08am74L3P",mandatory
1340089016050454530t,"@Imdragonman420 If residents at nursing homes are vaccinated , there is absolutely no reason to vaccinate the staff unless they want it . If vaccine works , then the vulnerable are protected . If it doesn ’ t work then @pfizer should be investigated . What in the world are U injecting people with then ?",ineffective
1280491532437446657t,"If #Novavax has been awarded 1.6 billion , #makethevaccinefree . Everyone together , hold the government and big pharma accountable . ✊ 🏻 ✊ 🏿 ✊ 🏽 ✊ 🏾 Stop letting them rob us , when it ’ s their fault for managing this outbreak terribly , killing small businesses , and our livelihoods .",pharma political
1376375590010249218t,"Palachook says "" But until we have the population vaccinated there is of course the risk of community transmission . "" Shame she doesnt realise there is no evidence that vaccination prevents transmission . #idiotsingovernment",side-effect
1276060915658395648t,"I can't believe anyone really believes we'll ever get a Covid cure . Even if we get a vaccine , do you really trust our government to secure it , distribute it , and affordably price it ? Kidding yourselves .",political
1374925877306253317t,Halt All Covid - 19 Mass Vaccination Immediately ( Open Letter to the WHO ) — Vaccine Research Expert https : / / t.co/9BWWzqCecj,mandatory
1285385073525743622t,Coronavirus vaccine trial at Oxford University shows ' robust ' immune system response https : / / t.co/82Anyurhaq #FoxNews this is the one with the chip people ... designed to give ' robust ' immune system responses ... I would not take it LMAO ! ! !,rushed
1371209597491503108t,* * * COVID - 19 VACCINE SUSPENDED FOR CAUSING BLOOD CLOTS * * * COVID - 19 : Ireland suspends AstraZeneca vaccine https : / / t.co/wgBww94Lnh via @YouTube,side-effect
1326431748595605504t,@piersmorgan @piersmorgan my biggest issue with the vaccine is the fact that @pfizer have an abysmal track record with medicine and it ’ s adverse affects . Even paying off doctors in the past ... how can we trust that it ’ s safe ?,side-effect
1444655305841840131t,"@AmratLalwani1 @mshafiquk @PPaulCharles Sinopharm won't be trusted . So you have one vaccine . But unless you were vaxed in UK ( or EU , US + 17 ) likely that will not be allowed either",ineffective
1361141045744967683t,@surveyorX Don't get the vaccine . It's 99 % survival rate . I have elderly patients who are surviving Covid .,unnecessary
1261314346656940032t,@science_cited @forrestmaready I ’ d recommend listening to Dr . Mikovits and RFK JR on the risks of mRNA vaccines currently in development by Moderna . Even their former chief chemist said he ’ d never take that vaccine . It ’ s exactly what it ’ s designed to do .,side-effect
1339686036230823937t,@Critscan @MarkFra38596744 @damianbruced @HackBlackburn 300k + dead from covid = no biggie 99.9999 % chance to live anyway 4 with serious side effects from vaccine = NOT PUTTING POISON IN MY BODY I'M NO SHEEP,side-effect
1377372809077288962t,@BionicBacon If the “ vaccination ” works then why do people need to be segregated ? If the vaccination doesn ’ t work then why did you dumb ass people take it in the first place ? Critical thinking skills ! C ’ mon people .,conspiracy
1377276930328817672t,@chelsie_bain @business Your tax money is subsidizing this windfall for vaccine manufacturers .,pharma
1376708936976326656t,Vaccine passports are not a good idea and further not Constitutional,mandatory
1369509209843376130t,@donnavivino My point is if Russia was the only country with a vaccine available I wouldn't trust them enough to take it . I also believe Trump is a long term Russian asset who was more than a bumbling bureaucrat and who had a laundry list of things Putin wanted him to accomplish to hurt us .,country political
1432316506717761539t,Woman dies from possible ' rare side effect ' after receiving Pfizer vaccine https : / / t.co/FyClbecgcH,side-effect
1426046770551816194t,Phichit medic who died after booster Pfizer vaccine had underlying health issues #SootinClaimon . Com https : / / t.co/Bj5mfevFyX,side-effect
1355520864561876992t,"This is incredibly concerning . On the face of it it would appear the vaccine is the cause of their deaths but without transparency , no doubt it will continue 🤔 😢 #BorisJohnson #vaccine",side-effect
1337710451237523456t,"OOPS ! ! ! ... @guardian CDC monitors for Bell ’ s palsy among Pfizer vaccine recipients , sees no causal relationship https : / / t.co/OrwPvBzgY9",side-effect
1341713552114069504t,"@carlheneghan Does the Pfizer / Biontech paper , justify treating the vaccine as the holy grail . I actually find the paper more disturbing than reassuring . Besides all limitations they say „ the results are proof of concept for RNA vaccines . “ https : / / t.co/kDxQkMWgpF",rushed
1333789671973744646t,"@moderna_tx COVID - 19 vaccine conditional marketing authorization , not safe to preserve life , debauchery is not trust .",side-effect
1293379404538818561t,"so galit na galit ang lahat sa dengvaxia pero excited sa russian covid - 19 vaccine ? they skipped the 3rd phase just so they could say they developed the 1st vaccine . wake up , ginagawa tayong lab rats .",country rushed
1354561494990680069t,@vonderleyen Beside this AstraZeneca is a 175 € vaccine based on a chimpanzee Adenovirus Vector with an efficiency of calculated 70 % which is less in elderly . The chance of an Immune Escape of the new VOC makes this vaccine even more Questionable . Fighting a 🦇 virus with a 🦧 Virus ?,ineffective
1346847782334832647t,@Topoke @NPR Or just carry on exactly as before because clearly there is no problem . If it ain't broke why fix it ? How many out of * zero * covid cases can a vaccine possibly help with ?,unnecessary
1332206506339565570t,#IndiaFightsCorona Oxford AstraZeneca Vax FACTS SHARE WIDELY Those promoting the vax have loud voices & big money to hide the truth from you So there needs to be some effort in amplifying the voices of those who expose the truth . The entire thread is backed up with proof 👇 🙏,pharma
1375146241580003346t,@thedailybeast Frankly I'd rather they not get vaccinated . #ByeFelicia https : / / t.co/zJlOBHloMJ,none
1353013192373448704t,I ’ m seriously worried about this . The phase 1 and 2 trials are done on such small number of volunteers that one cannot recommend a drug or vaccine based on them . Why India is doing this ? ? #Covaxin,rushed
1297173361253060608t,"@realDonaldTrump @SteveFDA They just want to keep people from dying from bad drugs and vaccines , something you don't care about . You have hundreds of thousands of deaths on your hands , not just COVID - 19 - soldiers killed for Russian bounties , Kurds betrayed to fascist Erdogan , ... #BidenHarris2020Landslide",side-effect
1164662154647068672t,"@MsSmartyPanda I'm not anti vax generally ... But ... The flu vaccine is just a giant waste of money , that's causing the virus to mutate faster .",side-effect
1314888881926557696t,"CLINTON APOLOGIZES FOR EXPERIMENTING ON U . S CITIZENS AND MILITARY WITHOUT THEIR CONSENT AND IN SECRET ! ! WHY DO YOU THINK IT WOULD BE DIFFERENT WITH THIS HARDLY TESTED , SPIKED WITH DNA - CHANGING CELLS A . S . O . ' ' COVID - VACCINE ' ' ? ? ?",conspiracy political rushed
1328874989005713409t,@AskeladdenTX He ’ s walking back the recent claims of vaccine effectiveness . Seems it will mainly be to reduce symptoms not infections . That ’ s the situation now . Almost all people who ’ ve contracted Covid are low - or non - symptomatic . Expect calls for the counter - measures indefinitely .,ineffective side-effect
1334593561707376650t,"NO WAY ! If true this is utterly outrageous . #Pfizer has an unbelievable criminal track record why would they get "" indemnity "" in case they sell yet another flawed medicine ? People need to wake up and soon ! ! ! #COVIDー19 #vaccination https : / / t.co/AkD1EcDYty",pharma
1265697838358396928t,"Ugh - No thank you ! 🚫 🤮 A volunteer in a key coronavirus vaccine trial has revealed that it left him the sickest he has ever been in his life Moderna coronavirus vaccine tester fainted , had high fever during trial https : / / t.co/Q0wavKvEVk",side-effect
1218958578461048832t,"@DocEmRu @ChrisJohnsonMD Not the Holocaust , it's the rape / vaccine - induced viral apocalypse via the coronavirus from #Wuhan . See : https : / / t.co/xFVEtMUdOl",conspiracy
1354386927605207042t,"@TinTopsuk @Engineer4Health @Anti_retro_tax @AndyBird21 Yes , but we don't lock the country down for flu do we . I'm led to believe the ' R ' rate is a significant factor in us being in lockdown , if you can still transmit it post vaccination , how will that change ?",ineffective
1338835406805233664t,"@neontaster @AlexBerenson Has been reporting straight - up facts since the beginning , no matter how inconvenient to anyone's narrative . When a report came out saying there were no excess deaths this year from Covid , he was one of the first to debunk it . The vaccine does have side effects ...",side-effect
1358164133959581697t,"@CarmenShier @CBCNews "" Doctors said they think it's the metals in the vaccine that's causing her to have the neurological reaction "" 2 : 15 Jan 18 , 2021 RT Woman's severe reaction to Pfizer COVID vaccine prompts investigation - YouTube https : / / t.co/HmERAKa5qy",side-effect
1352730823720640514t,"@StevenWillcox2 @KenGardner11 The idea of * forcing * someone to do something , especially something like a vaccine under the penalty of not getting something from the Gov , is unconstitutional at best .",mandatory
1253228122612404224t,@Hotairmail1 @trevor_stables @nicholaswatt Agree . I can ’ t see how a vaccine can be rushed through . Time is the test any experiment needs .,rushed
1371050337281396736t,It's all coming out into the open . A vaccine rushed into production & only authorized for emergency use is bound to be full of flaws / potential dangers to health Ireland to suspend use of Oxford / AstraZeneca jab as blood clots precaution https : / / t.co/1hFSOZEAsN Sent via @updayUK,rushed side-effect
1342551310072213504t,Boston Doctor Develops Severe Allergic Reaction After Getting Moderna Vaccine https : / / t.co/jUIA8hhAEl https : / / t.co/PjNVAaCsau,side-effect
1338887978790227968t,"@FindIssue @GEPrager @JB3719 @AlexBerenson @pfizer Nah , hard pass . You get it . YOU will be protected . Leave the rest of us alone .",none
1310331558750978048t,"As US health authorities show reluctance to allow AstraZeneca to resume clinical trials of its coronavirus vaccine , a plethora of questions remain unanswered regarding the neurological illnesses suffered by study participants after they received injections of the expt vaccine .",side-effect
1376602227347963904t,@Working4All @MacAssassin123 @bchena1313 @disclosetv 😂 🤣 😂 🤣 okay settle down now blown gasket . You have the right to choose to get vaccinated and that is your right . Just like those who choose not to it is their right to make that choice not to . Having this “ pass ” as they call it is removing choice and that is against people ’ s,mandatory
1338555544714539008t,"Those vacines have not be properly tested , and no one , under any circumstances should be forced to take them . #MondayThoughts Australia scraps a Covid - 19 vaccine that produced H . I . V . false positives . https : / / t.co/fENBpQwjMI",mandatory rushed
