ID,text,labels
1410710859131752448t,Latest from UK on #AstraZeneca vaccine casualties - 70 #Deaths from #VITT = #VIPIT = #TTS + 866 dead ( excludes 112 spontaneous abortions ) from its other side effects @AnnastaciaMP @DanielAndrewsMP @MartinFoleyMP @VictorianCHO @MarkMcGowanMP @JoeABCNews @latingle tell #ScoMo https : / / t.co/PhSytpjjeE,side-effect
1376364991381610500t,#Denmark paused the use of the @AstraZeneca vaccine as a precautionary measure on March 11 after reports that a 60 - year - old woman died with blood clots in several parts of her body a week after she received the #vaccine . https : / / t.co/XdGmVk8Rbi,side-effect
1325792643427786752t,"Pfizer says their new covid vaccine 90 % effective . Well they would say that . Untried , improperly tested , rushed , hugely profitable and no indemnity You need to be dumb to have this especially when most people dont need it they have natural immunity defence system #vaccine",pharma rushed unnecessary
1248387260703076354t,"Watch "" EXCLUSIVE : DR . SHIVA EXPOSES FAUCI , BIRX , GATES , AND THE W . H . O . COVID - 19 ENDGAME "" on YouTube https : / / t.co/EfeHvRBHZR Chiped / Vaccines are what they want .",conspiracy ingredients
1375720451952013313t,@MrsFernandes9 @DemicCase @EssexPR I have . It takes about 2 yrs to develop & produce a flu vaccine for a certain strain ( Its not one - size - fits all ) . The WHO guesses which strain will be prevalent 2 yrs in advance but may get it wrong & it won ’ t protect from the current strain anyway . I don ’ t like medical guesswork,rushed
1371490319020199938t,Whilst some European countries are halting the covid vaccine of alleged blood clot .. we here encouraging people to take in the vaccine ? Africa 🤦 ‍ ♂ ️ 🤦 ‍ ♂ ️ 🤦 ‍ ♂ ️ #AFRICANGIANT #AstraZeneca #COVID19 #coronavirus #COVAX #Ghana #COVID19Vaccine,side-effect
1260258769524662276t,the lady who gives the animals vaccines didn ’ t even know that Aluminum AND Formaldehyde which are HARMFUL ingredients are in all vaccines kinda sounded confused .. exactly they don ’ t teach facts about vaccines in school they ’ re poison and can cause illnesses ! #vaccinesArePoison,ingredients side-effect
1373336298400940041t,"Denmark reported that two people experienced brain hemorrhages after receiving the AstraZeneca Covid vaccine , one of whom died . Danish authorities are investigating whether or not these were direct side effects of the vaccine . https : / / t.co/Xv3SRwpHBx",side-effect
1265171379327918080t,"@7NewsMelbourne @Novavax One of the world ’ s leading eugenicists , implicated in 1000 ' s of deaths , cases of infertility , and paralysis , following vaccination programs in Africa ( Unicef ) and India ( BMG foundation ) ; has now handed Novavax 388 $ Mil through his CEPI cause for the Covid _19 vaccine drive .",side-effect
1331396422197940225t,@spectatorindex Without any large - scale clinical trials ! I certainly won't be using it . I'd prefer Covshield or Covaxin . Sputnik is in no way acceptable .,rushed
1353753839136980994t,@RandPaul My 70 year old relative recovered from Covid and had a horrible reaction to the Moderna vaccine,side-effect
1344402390162804740t,"@VeniceLaura @jean_pjtwood @petertimmins3 MHRA had to even do the warnings about reactions from the Pfizer vaccine , which Pfizer never tested for . I'm going to stick with the MHRA on this one . lol",rushed side-effect
1287535686514544640t,"@NeilClark66 The leading company Moderna has never produced any approved drug "" EVER "" your bodies cells will be changed forever , think about that ! If you have a weak immune system will you produce antibodies ? Will you have a hyper inflammatory response ? serious questions about this vaccine",side-effect
1376588715628261376t,"When Michiganders get a Johnson & Johnson #COVID19 #vaccine paid for with certain federal funds , a new state law mandates that they must be informed that it was developed using a stem cell line from an aborted fetus . https : / / t.co/ZTWz5P8Sqi via @freep",ingredients
1316064478837043201t,This is why it takes long time to make safe vaccine . Johnson & Johnson pauses covid - 19 vaccine study for ‘ unexplained illness ’ This is SECOND TIME in just a few weeks that a big potential vaccine trial had to shut down bc it caused unexplained illness https : / / t.co/EYfGmKDQpy,side-effect
1332858597265399808t,@WBrettWilson Pfizer is pretty comfortable too with every one getting a vaccine . This is a business . This is not about health .,pharma
1326550067373776896t,2 ) ... scuppered it at the Congress of Vienna in 1817 . When they get the chance these psychos will make what occurred in the Russian Revolution look like a warm up ! I for one will not submit to any vaccine .,none
1374833006037377024t,"@benrileysmith Clearly not following the science or data then . Even last year , without any vaccinated , there was no study or data to suggest pubs , restaurants or gyms were areas of viral spread . This is just about control and a coercive way to get all under 40 ’ s to take a vaccine they dont need",unnecessary
1354305622225932288t,"@business as i know even in rich developed countries they still don't provide insurance with that vaccines , there's a cases of deaths in Russia from Sputnik vaccine which not investigated , including catching virus & death after vaccine ( Kaluga city head of state hospital death )",ineffective side-effect
1255471570488868874t,"@Idontthinksokid @AParapanos @Fire_Syde @Charlotte3003G @wordwhisperer They are using the mandatory vaccination as an excuse to give you a digital ID , they are using the virus to scare individuals into doing something that they know they would not do under normal circumstances . They have always wanted to be China , as China claims they completed ...",conspiracy mandatory
1320037380389244930t,"@Dok845 The trade secrets they are pouring huge amounts of money into developing . There ’ s some really shitty incentives in the system because the second vaccine to market won ’ t make much money . So there has been some pushing of ethical rules , enables by govs desperate for a vaccine",pharma political
1365091038533193739t,https : / / t.co/WYBMJIE5JI ? Vaccine ? What is in this untested whatever it is can you please tell us as surly to God you must know if you are recommending it ? You have it yet ? Your Family ? Can we know please ? @randyhillier @DrP_MD @dockaurG @DoloresCahill11,rushed
1443326944725114889t,"🇨 🇦 🔥 🚨 Shocking must see ! Alert ! Dr . Carrie Madej : First U . S . lab examines "" vaccine "" vials Horrific findings revealed "" Self aware Organism with tentacles "" 🚨 Found in Moderna Vaccine #onpoli #canpoli #VaxToTheMax #VaxToSchool #TeamToronto #TeamCanada https : / / t.co/1RWuy9d21Y",ingredients
1122216014698074112t,@realDonaldTrump please please speak with Robert Kennedy re vaccinations 🙏 🙏 🙏 Don ’ t take our constitutional rights away to choose whether to be vaccinated or not . It ’ s not the governments or the states job to force us into taking poison into our bodies .,mandatory side-effect
1371552949793607683t,People absolute begs for the covid vaccine sicken me especially after Spain have suspended vaccination with astrazeneca that vaccine ain't letting you go nowhere except the emergency room lmao,ineffective
1328011403681292290t,"Yes , & Fauci , I ’ m sure , with FDA & Pfizer rewarded Trump by waiting 2release that COVID - 19 vaccine had been developed ! Part of concerted effort to bring down President Trump ’ s second Presidency ! I will never take the fking vaccine 💉 and any vaccine arse BillGates had finger in !",pharma political
1254220764754018304t,@CMichaelGibson I would like to know this . The SARS and MERS vaccine had a lot of problems in animal trials . The issue was re - expose caused a very strong immune reaction that killed the hosts . I am very wary of RNA vaccines . They have never been able to have a successful one in the past,rushed side-effect
1364600649212710919t,@WWakeUpTime @benchappers83 @NoGreatReset @RealDeniseWelch These chumps think things change after the vaccine 🤣 🤣 🤣,ineffective
1328352438009663489t,The Moderna Covid vaccine is like a good version of the second plane hitting the World Trade Centre . It means the first one was no accident !,conspiracy
1357172008132386817t,"@TobyTurner Sorry for your lost Its up to everyone to think for themselves It's possible it was covid , or the vaccine , or just his time but why is it that it'll be counted as a covid death if it's not know for certain ?",ineffective
1364622986855256069t,"@Worstedjumper @NostalgicDread_ @Lindseyy888 If you've had a #covid19 ' vaccine ' ( 2doses ) , you are as ' protected ' as you can be , from a virus with a + 99 % survival rate . 0.00005 % risk to children and 0.1 % risk to healthy 65y . o . To insist healthy ' unvaccinated ' people should face restrictions is abhorrent . #NoVaxports",mandatory unnecessary
1339788992343121928t,I knew there was an adamant and outspoken #antivax community . What I wasn't aware of was this sadomasochistic #provax group who are creepily orgasmic over being injected with whatever #BigPharma wants to inject them with,pharma
1300477211800109057t,@OMGno2trump Not trusting Dr.Hann or FDA . Integrity WAS a hallmark of FDA . No vaccine for me . Don't trust the safety or effectiveness due to the moral lapses in current administration .,ineffective political side-effect
1319653883380174849t,"@landoflindy @scottmillar1 @jasonleitch This is her system , in it's entirety , and it doesn't even deal with the idea of there ever being an end point . It denies the existence of that eventuality , in the absense of a vaccine , which the people making have , on record , stated is highly unlikely to actually change anything .",ineffective
1365600143957975041t,77 Thousand reactions and 200 deaths due to vaccine . https : / / t.co/4sDPOpPdQD,side-effect
1339562804836241410t,Further Discussion of the Red Flags in the Pfizer Vaccine Paper in the New England Journal of Medicine | naked capitalism https : / / t.co/3mV0h6TWxc,pharma
1319471084337508353t,@InvictusCLT it's honestly not . im not antivaxxer and id love to take an actual vaccine but im very skeptical of a rushed vaccine made in like 9 months,rushed
1327171624366436353t,@HTXpuckprincess @aubrey_huff I wouldn ’ t want a Pfizer one . If the media would report the real news . Pfizer CEO dumped 62 % of his stock on Wednesday I wonder why .,pharma
1321884514277380101t,@RichieAllenShow ... @talkRADIO seem to be fully onboard for #vaccines tho ... if only we could get @JuliaHB1 talking about the madness of the #DNA #RNA altering vaccines ... and they have not even reported the injuries to volunteers on the #AstraZeneca trial,side-effect
1345279796721246210t,"WTF , the Butcher of UK @BorisJohnson keeps on his fuckup the management of covid - now it's the vaccination : 1 The vaccines will be be mixed and matched 2 follow up 2nd shot not 3 weeks after , but 12 weeks Science is dead",political
1255076278430044160t,@CP24 If they make a vaccine mandatory people will then there ’ s ulterior motive,mandatory
1364666557050335237t,@nick_the_geek78 @heidiEC5 Nobody should be masking or ' testing children ' for #covid unless very ill . They have 0.00005 % risk from it . Concentrate on getting vulnerable & high risk ' vaccinated ' ( 2Doses ) . + 99 % of people will recover & build natural immunity . ' Cases ' data is propaganda . #NoMasksInClass,unnecessary
1345482007393021954t,Mexican Doctor Hospitalised After Receiving Pfizer Covid Vaccine https : / / t.co/lXJ0i6kvam https : / / t.co/aIVK3C6IDC,side-effect
1329366430551142406t,@zeroxpectation @ashishkjha @pfizer Be interesting to see how many ideological subversed fools line up for the evil vaccine plan .,conspiracy
1262933557527232513t,@inquirerdotnet Duturte is either working with Trump to bring down the deep state or he's really not to bright . If he is really pushing a vaccine that means he's siding with China . He'll be in huge trouble once the Truth about this covid hoax comes out .,conspiracy mandatory political
1358461418576752641t,Look up and listen to Dr . Vernon Coleman before you decide to get a vaccine Covid,none
1336383469438513154t,"To be quite honest , YES . I have the rest of my life , around 35 - 50 years on average to live with a potentially life altering and debilitating vaccine injury . The average covid death age is 82.5 . Average life expectancy is 79 - 81 . They are incredibly selfish if they expect it .",side-effect
1393415367163211776t,"Search Results from the #VAERS Database 74y ♂ ️ Moderna #Vaccinedeath 1 day after vaccination . "" Patient was found unconscious without a pulse . Patient remained in asystole without pulse or respirations despite CPR . "" https : / / t.co/8iTCS5zQel",side-effect
1300839607035138055t,@annikawu @NIHDirector @NIAIDNews @AstraZeneca Agree . Years ago I was required to take a flu shot bc of my job . I got so sick I thought death would feel better . My doctor told my employer it wld be dangerous for me to have another flu shot . I haven't had one since & stay pretty darn healthy !,side-effect unnecessary
1283529923026706434t,"Coronavirus : Lockdown Deaths , Not Covid Deaths – Moderna COVID - 19 Vaccine Induced Adverse Reactions In “ More Than Half ” Of Trial Participants – Lockdowns Return Across India As COVID - 19 Cases Near 1 Million https : / / t.co/JPsLSJpE6P",side-effect
1377392417192599553t,"@GokuHyugaIroh I know someone who's step dad died after getting the vaccine . And nobody seems to care that it'll be long term effects with it . How you gonna get injected with something and you don't know what's in it . Also , it's experimental , it was made in 9 months compared to a usual 4 years .",rushed side-effect
1365492388844761100t,"Thank you Darling . OK Team Humanity , here ’ s my video explanation of the terrifying new vaccine technology that turns the human body into an Operating System - reporting of fact , fact sourced in NIH , Google , MIT , that nonetheless got me kicked off Twitter for 12 hours .",side-effect
1374874162616020995t,"We ’ d love to see some information about what is in the vaccine does it contain aluminum does it contain nickel there ’ s just no report available , you can push the vaccine all you want but if people are afraid of it they ’ re not gonna take it . Why hasn ’ t this report already been out",ingredients
1342694888366878721t,I ’ ll drink fox river water before I take the covid vaccine,none
1321373250430054400t,@llggeorgia @tabletmag Imperial College London casts doubt on herd immunity with their flawed study ( not peer reviewed but already discredited ) . Together with the Sky News UK which promote anti - herd immunity strategies ... vaccine is the goal of the government even though they say it wont work,political
1377980203515965442t,"@KyleKashuv @davidwebbshow Why in the hell do I need a vaccine , if I have already had COVID ? Did we suddenly change the rules of science ? COVID is a virus . Viruses mutate . The vaccine is not a guarantee you will not catch COVID again . Quit pushing the vaccine as the answer .",ineffective unnecessary
1432311487499055118t,"15 ) New Zealand has reported the country ’ s first recorded death linked to the Pfizer Covid vaccine , after a woman died following rare side effects . The information was released by the health ministry after a review by an independent Covid vaccine safety monitoring board ;",side-effect
1334057928236654593t,@DHSCgovuk @MHRAgovuk @pfizer @BioNTech_Group Long term effects are what please ? Have they even been tested ?,side-effect
1424184844800589831t,"@FredPye5 How they test vaccines against other vaccines instead of placebos . They did this with AstraZeneca outside of the US . They do this to hide adverse events . They do this with the childhood vaccines . If you could connect the dots to the whole vaccine scandal , that would be powerful .",none
1329063888931975169t,@DrEricDing 170 cases ? There are 43000 candidate on the Pfizer ’ s trial worldwide . That ’ s about 0.2 % of the trial . Is 0.2 % enough of a clear result of a trial that skipped phase 2 to give to 7.5 billion people . All of these covid trials have been a complete shambles from the start .,rushed
1319729885431144454t,No reasonable person is taking a Trump - approved vaccine .,political
1338449022449721344t,Indonesia Gets First Batch of Vaccine From China ’ s Sinovac - Bloomberg . - I hope we are not following Indonesia in securing Sinovac and start vaccination without credible efficacy and safety data . Haste makes waste . Safety is paramount . https : / / t.co/5vwvRpqiKR,ineffective
1346782720907591681t,@ScottMorrisonMP @GregHuntMP @AlboMP as Prof Raina MacIntyre has pointed out the @AstraZeneca vaccine will NOT allow us to achieve herd immunity . Why are YOU pursuing the use of this vaccine when there are two other vaccines - currently available - that are 30 % more effective ? ? ?,ineffective
1335068283557580802t,@RealCandaceO Maybe someone could explain the risk - benefit to me : From the data that we have available so far the RISK to me ( age / health / etc ) of getting COVID - 19 is an approx 2 % risk of death VS unknown risks from an entirely new vaccine technology never before used .,ingredients side-effect unnecessary
1329244375860211712t,@unspinthespin Yes moderna will avoid this experiment . I can see trying this if you are dying and have no other options but on a mass scale for this virus seems crazy,rushed unnecessary
1444359014117167104t,"@debacton @Lugon83 @TheDividedStat3 @POTUS In the same time period after a first dose of the Pfizer - BioNTech vaccine , the study found the risk of blood clots and strokes caused by restricted blood flow to the brain ( ischaemic stroke ) increased . https : / / t.co/tqf84XV36c",side-effect
1262493476119166976t,@SimonHarrisTD Will you make sure vaccine is Corona free ? Was it grown in dog tissue ? You could create virus storm if kids contract covid . Happened US military last year . ' Science ' reported on it . Don't Do This .,ingredients
1370203359009894403t,#vaccineSideEffects alters your dna and rna don ’ t take this experimental poison ☠ ️ the devil came to kill steel and destroy https : / / t.co/u1vJ54iqzK,side-effect
1281119321306079232t,"@OddValiant @GKJill Gates is linked to almost everyone one of these things that's why so many have been critical of him . Nanoparticle DNA altering vaccines & Moderna , using brain waves for mining cryptocurrency , ID2020 alliance ... You can't make this stuff up smh . God bless guys",conspiracy ingredients side-effect
1375148874369658883t,This is exactly why people shouldn't be in a rush for this vaccine . Technical read but still clear to understand . Please share . https : / / t.co/fGC9OcIRkJ,rushed
1377280621240844289t,Johnson & Johnson knew for decades asbestos was in it's baby powder - think I'll give their 💉 a bodyswerve 😏 #vaccine #VaccinePassport,mandatory
1377391996491288576t,Unreal ... yet another reason ppl who want one can have my spot in line ... it's gonna be a long time before I would consider an experimental vaccine ( s ) with so many of these types of stories of concern for quality control and outcomes . https : / / t.co/kJ7KsPtVtR,rushed side-effect
1435414715769839616t,@PooyaKazemi1983 @sailorrooscout So you ’ re knowingly peddling vaccine science from a pharmaceutical employee put on Twitter by Moderna to sell the vaccine . Brilliant . This isn ’ t corrupt at all … .,pharma
1333458541072551937t,Lin Wood Not so sure Bill Gates will get Emergency Approval for Moderna . Moderna is Gates vaccine . Gates urges depopulation theory ( smaller servant class ruled by & service elite ) . 1 + 1 = 2 . I will NEVER take Moderna or ANY Gates vaccine . I will rely on immune system created by,conspiracy pharma
1334239401585545217t,"COVID VACCINE In foresight of Nazi Pharmaceuticals causing Felidomites and only publicly advertised 10 yrs later , what guarantees are there that the vaccines are NOT Nazi engineered for next gen ? #Covid19UK #COVIDSecondWave #coronavirusuk #BorisJohnson #Primodos #illuminati https : / / t.co/dAhtSCRjup",conspiracy
1277322748772130817t,"@blu3r4d0n @scdhec Have you seen the result of the Moderna vaccine trials ? After these atrocious results , Bancel ( CEO of Moderna ) dumped 17 million in stock . In total Moderna executives dumped 25 million dollars in stock the day after the results were released ( much to Fauci ’ s chagrin .",pharma
1430843813937958915t,"BBC Radio Newcastle presenter died of AstraZeneca coronavirus vaccine complications , coroner concludes Lisa Shaw died three weeks after her first dose , inquest hears https : / / t.co/EX5vFIvM1a",side-effect
1334536057954721793t,"Pfizer vaccine from the same people who make Viagra , so you get The vaccine then your arm goes up in a Hitler salute and you cannot get it back down for days ... HaHaHaHa",none
1316994978929811457t,"update : DAILY MAIL : turns PEOPLE into MONKEYS ... , ( October 16 , 2020 ; 14 : 28 HKT ) #OXFORDVACCINE",side-effect
1346707020758589440t,"Moderna Covid vaccine side effects : Fatigue , headaches , muscle pain say . Many physicians are advising the public to brace for some stronger - than - usual side effects from the Covid - 19 shots than , say , a typical flu shot , and to possibly take a day or two https : / / t.co/8FCG8i60S8",side-effect
1328154434128523265t,"@GOP @realDonaldTrump Yes and totally untested and a dangerous lottery ten percent of people will still get covid even if they have the jab no long term effects studied and Pfizer ’ s last trial drug killed loads of children it cost them millions and I ’ m not an anti vacer , but I ’ m not stupid either",ineffective rushed side-effect
1371590592933822466t,#Moderna Chief Medical Officer Admits mRNA Alters DNA ( 2017 TED Talk video ) #COVID19 #COVID #vaccine https : / / t.co/Uci3ZlQRWf ( Original video ) https : / / t.co/zzYITa2Xhu,side-effect
1336626615200215040t,"@TooSoon51705384 ... and "" Pfizer said the vaccine was "" well tolerated "" during the trials with "" no serious safety concerns "" . ! ! but confirmed 2 deaths ... https : / / t.co/o2q0bi9clp",side-effect
1354780396408471552t,"@animaloftheweek @TheOldLoftyOne @NeilClark66 The lockdown won't end if we all get vaccinated , Priti Patel basically confirmed that on Tuesday , the vaccine has not been tested properly , myself and others who don't want it forced upon us will have to take our chances",rushed
1355347772774309890t,"@TheRealOJ32 Ummm ... why did you get a vaccine ? You aren ’ t elderly , a teacher or immune compromised . Oh yeah , money talks right ? #YouArePathetic",pharma
1344785406332727297t,@katiewr31413491 And young children should be tested for allergies before vaccination . Also Christian was given an overload of vaccines without any thought about possible harm . I find medical advice & coercion difficult to deal with .,side-effect
1297969696059404288t,@DavidSherwin10 @MissNachez @raumcom @cgrace29253014 @WhiteHouse @realDonaldTrump And a vaccine would do nothing for those people . It would only make things far worse,ineffective
1343539944686542848t,@disclosetv @BioNTech_Group The transhuman slavery end game of the vaccine for covid . They are literally trying to put us in a mind / body / financial matrix . This video explains how and why . https : / / t.co/PdslFIH8wf,conspiracy
1403697877277233156t,Australia and the UK are the only countries that give people aged 50 - 59 no choice other than the lower - efficacy AstraZeneca vax that has more life - threatening side effects . The UK at least is overrun with COVID . Australia has no excuse for continuing to push it .,ineffective side-effect
1325879758148800515t,"@rapplerdotcom @AFP Is it just me or is this kind of dubious "" Pfizer says COVID - 19 vaccine is looking 90 % effective "" 43K participants but study has no data of how many were actually exposed to virus to test response . Without a challenge test of those vaccinated we really don't know effective rate .",pharma
1296179318238982144t,"@AlexDevantier @AlphWilliams "" Oxford "" vaccine has much more pisazz about it . Easy to manipulate the masses . Mention an Australian research firm and the public would go to sleep . The Marketeer in full flow . What a sucker country we are .",pharma
1376742226513047554t,"@IngrahamAngle Watching tonight about forcing people to get the vaccine . What ever happened to the "" it's my body "" approach that the dumbocrats keep pushing to legitimize abortion ? ? ?",mandatory
1365986368787255296t,@warrenf00668424 @jayne_puligan @BettyBanana67 @ParkyYork @john_dirom @GrahamMarlbrou1 Not sure if you are on Facebook but if so join “ Old man in a chair ” he is a doctor that has been looking in to the vaccines for months he has a full list of all cases of adverse effects of the vaccine to date also lots of other information a complete eye opener,side-effect
1333469820633878529t,"@DiamondSkyDiva Agree , I can understand an old or / and extremely sick person taking vaccine , covid is a killer for them whereas someone below retirement age who is healthy like me stands next to no chance of dying of it , won ’ t take chance of getting dangerous vaccine side effects",side-effect unnecessary
1377290599519420422t,"Grambling when I get this vaccine please do not give me the J & J one . They baby powder not even safe , what makes you think I want a vaccine by them 😐",pharma
1261314346656940032t,@science_cited @forrestmaready I ’ d recommend listening to Dr . Mikovits and RFK JR on the risks of mRNA vaccines currently in development by Moderna . Even their former chief chemist said he ’ d never take that vaccine . It ’ s exactly what it ’ s designed to do .,side-effect
1330406857773621249t,I'd rather take the Wario MDMA pills than a rushed Pfizer vaccine,rushed
1376267766328668164t,@gordonsagit @annaberu @davidhepworth_ @BorisJohnson You can go anywhere without the vaccine where is all this rubbish talk coming from,mandatory
1337581096234528768t,#Vaccine #lockdown #Lockdowns #COVID19 6 people already dead from the new Pfizer vaccine . https : / / t.co/qQiM8xwkjP The vaccine is so safe that they'll have to force people to take it .,mandatory side-effect
1367932481354276866t,"Catholic scholars : ' Little , if any , moral reasons ' to reject Johnson & Johnson vaccine https : / / t.co/kpXmTPHKah",religious
1329100034718257159t,@12D_ASCENSION @StopherBuck @pfizer @BioNTech_Group When they say things like this . The average age of covid victims is above the average life expectancy . Once you get old something is gonna take you out . Part of life,unnecessary
1371936503476092931t,"@ScottAdamsSays #jrs_covid_vaccine_side_effects This doctor got 105 temp after 2nd shot ( Moderna ) . Once again , this may be a good thing . https : / / t.co/mpoWFKoupk",side-effect
1408740814998720512t,"By the way , not even Russians trust the #RUS vaccine ' Sputnik ' Well there's a solution : "" Sputnik Light "" ! Only one jab needed of this ( allegedly ) , the first jabs are being given BTW this media outlet ' Echo ' used to be great , now it parrots the state line https : / / t.co/wnS6z8y8Fd",country
1346682618750898184t,"@wendyemily2 I intend to get vaccinated but not with the Oxford vaccine . I don ’ t believe in any medical procedures being compulsory . These opinions don ’ t make me a bad friend . I think your friend is your friend . It ’ s a weird time and people are under great stresses , don ’ t ghost yr friend .",mandatory
1363061119657668609t,Covid Vax Deaths - 46 die in Spanish nursing home after receiving covid vaccine Health authorities have reportedly halted the administering of the second shot of Pfizer ’ s vaccine LifeSiteNews has been permanently banned on Youbube . https : / / t.co/df0YGT26dd,side-effect
1218669770054213633t,"@sallyKP @patobrien236 Cancer Treatments which was about 2 / 3 yr break . I finally watched her become normal again . I already had 2 kids so I knew something wasn't right . My niece had to have surgery after the HPV vaccination bc it caused Her complications . Finally , I knew they were putting harmful",side-effect
1357763439255572480t,Pentagon to deploy troops to deliver COVID - 19 vaccines https : / / t.co/zRH4PtpaQY via @Yahoo This is sad for many americans who will either get adverse side effects or die from a drug induced vaccine that has not been tested for safety ! DON'T TAKE THE VACCINE ! !,rushed side-effect
1346659202970877955t,How the fuck you catch covid 19 after getting the fucking vaccine Because the the vaccine is snKe oil https : / / t.co/K4ag07JD48,ineffective
1289961908104134656t,@kerpen @MLevitt_NP2013 Translation - I gotta keep this up a little bit longer or no one is going to want this Pfizer vaccine by the time we finish it .,none
1369619780458573827t,"@aussiecamel9745 My dad got cellulitis day after his COVID vaccination 💉 spent 5 days in hospital and still not very well . We kept asking all the medics if it ’ s vaccine related , but no one had a definite answer . We as a family are worried fir our dads round 2",side-effect
1376729657077272579t,Shout out to all the folks saying they see hope in their being vaccinated . This isn ’ t hope .,none
1288553927781355521t,"@PleaseJustDoNot @CarpeDi56670676 @JanieHsieh @SoopremeKommand @therealFichtler @drsimonegold I just retweeted several films , form your own opinion , but watch and don't count on the people in line to make money of a vaccine ( Fauci ) . There is much to read . Much to learn and Much to try . Not using something with these testimonials is not in my DNA .",pharma
1285507815545753600t,@10DowningStreet @BorisJohnson Flu jab intereferes with covid making it worse ... look at you in aprile ! #noway vaccines are NEVER #SAFE,ineffective side-effect
1311595665223544834t,"@michelle72767 @ElieNYC Vaccine industry is exempted from liability . Now they are going to produce a covid - 19 vaccine in record time . Never before have they had any success providing a RNA vaccine . And the blackmail here goes like : if you take it , my grandma could die because of you .",pharma rushed
1328781978645180426t,Imagine that ! So early days without adequate safety data ! Pfizer launches Covid - 19 vaccine delivery trial in four US states https : / / t.co/X4GaakrRYJ,rushed
1304072840950542336t,"What a load of sucking up by Mr Pfizer . FDA claims HCQ will kill you and won ’ t stand by Fauci ’ s 2005 report . Scott , did you volunteer for vaccine trials yourself ? Your family ?",rushed
1346816399684079618t,"@PBSherren Do you also make the Microsoft Windows start - up sound when you burp and the error sound when you fart , or is it just me ? Oh , and check out this weird scar I got after my infertility - inducing Pfizer mind - control vaccine ... https : / / t.co/ZhHMqRIWvJ",side-effect
1437816425608060940t,@Devildad1 @SteveBakerHW @sajidjavid The FDA approval even insists on a new study referencing myocarditis in pfizers vaccine results won't be in until 2025 / 2026 https : / / t.co/0LfILJpre4 https : / / t.co/NJX6UIQdRt,rushed side-effect
1363932751884398600t,@olgakhazan @AdamSerwer No vaccine program that creates and perpetuates racism and medical apartheid is a success . Period . It's not some side issue to give a nod to on the the way to praising the system . It means the system is a failure . Y'all really think dead Black people are no big deal,side-effect
